TIME,TARGET_BIN,DETECTED_BIN
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:04,R,
19:25:09,R,
19:26:05,P,P
19:26:05,P,
19:26:05,P,
19:26:05,P,
19:26:05,P,
19:26:05,P,
19:26:05,P,
